vessel_id,repeat_count,max_repeat,concentration,trend_clipped,open_deficiencies,known_issue_occurrences,known_issues_unresolved,overdue_audit,overdue_maintenance,recent_joiners,experience_inv,equipment_repeats,equip_repeats_since_inspection
V001,1.0,1.0,0.5629921259842521,1.0,1.0,1.0,0.75,0.14285714285714285,1.0,1.0,0.419889502762431,0.4,0.0
V002,0.23076923076923078,0.0,0.1417322834645669,0.14285714285714285,0.3,0.05,0.25,0.42857142857142855,0.125,0.0,0.9516574585635359,0.6,0.3333333333333333
V003,0.15384615384615385,0.14285714285714285,0.1417322834645669,0.0,0.3,0.1,0.5,0.0,0.125,0.0,0.42403314917127055,0.8,0.3333333333333333
V004,0.6153846153846154,0.2857142857142857,1.0,0.7142857142857143,0.5,0.7,0.75,0.14285714285714285,0.5,0.3333333333333333,0.1008287292817681,0.4,0.3333333333333333
V005,0.07692307692307693,0.0,0.16929133858267714,0.0,0.0,0.2,0.75,0.5714285714285714,0.125,0.16666666666666666,0.38259668508287276,0.2,0.3333333333333333
V006,0.07692307692307693,0.0,0.11614173228346461,0.0,0.2,0.05,0.25,0.14285714285714285,0.25,0.16666666666666666,0.4378453038674031,0.2,0.3333333333333333
V007,0.3076923076923077,0.2857142857142857,0.281496062992126,0.14285714285714285,0.1,0.0,0.0,0.0,0.625,0.0,0.6146408839779005,0.8,1.0
V008,0.15384615384615385,0.0,0.36614173228346464,0.14285714285714285,0.1,0.0,0.0,0.2857142857142857,0.375,0.16666666666666666,0.5732044198895028,0.4,0.3333333333333333
V009,0.0,0.0,0.4744094488188977,0.0,0.1,0.1,0.5,0.2857142857142857,0.125,0.6666666666666666,0.6353591160220994,0.6,0.6666666666666666
V010,0.23076923076923078,0.0,0.10433070866141736,0.2857142857142857,0.1,0.25,0.75,0.14285714285714285,0.375,0.16666666666666666,0.17817679558011057,0.0,0.0
V011,0.15384615384615385,0.14285714285714285,0.33661417322834647,0.2857142857142857,0.3,0.1,0.5,0.42857142857142855,0.0,0.16666666666666666,0.9143646408839776,0.4,0.6666666666666666
V012,0.15384615384615385,0.14285714285714285,0.125984251968504,0.0,0.3,0.15,0.75,0.2857142857142857,0.375,0.0,0.0,0.6,0.6666666666666666
V013,0.3076923076923077,0.14285714285714285,0.10433070866141736,0.2857142857142857,0.0,0.35,1.0,1.0,0.25,0.0,0.32734806629834234,0.2,0.3333333333333333
V014,0.15384615384615385,0.0,0.0,0.2857142857142857,0.2,0.1,0.25,0.14285714285714285,0.625,0.0,0.5759668508287291,0.6,0.6666666666666666
V015,0.15384615384615385,0.0,0.0,0.14285714285714285,0.3,0.05,0.25,0.14285714285714285,0.375,0.3333333333333333,0.5690607734806628,0.2,0.3333333333333333
V016,0.07692307692307693,0.0,0.16929133858267714,0.2857142857142857,0.1,0.1,0.5,0.2857142857142857,0.5,0.0,1.0,0.6,0.3333333333333333
V017,0.07692307692307693,0.14285714285714285,0.07086614173228348,0.0,0.3,0.15,0.5,0.42857142857142855,0.375,0.16666666666666666,0.8660220994475136,0.8,0.3333333333333333
V018,0.23076923076923078,0.0,0.11614173228346461,0.0,0.1,0.05,0.25,0.42857142857142855,0.375,0.16666666666666666,0.3328729281767955,0.2,0.0
V019,0.23076923076923078,0.14285714285714285,0.10433070866141736,0.2857142857142857,0.3,0.05,0.25,0.14285714285714285,0.625,0.16666666666666666,0.701657458563536,1.0,1.0
V020,0.07692307692307693,0.0,0.10433070866141736,0.14285714285714285,0.1,0.1,0.5,0.0,0.5,0.16666666666666666,0.6533149171270719,0.4,0.3333333333333333
